movie_title,person_name,production_budget,domestic_gross,roi_domestic,worldwide_gross,roi_worldwide,movie_id
How to Train Your Dragon,Dean DeBlois,165000000.0,217581232.0,1.3186741333333334,494870992.0,2.999218133333333,10191
How to Train Your Dragon,Chris Sanders,165000000.0,217581232.0,1.3186741333333334,494870992.0,2.999218133333333,10191
Iron Man 2,Jon Favreau,170000000.0,312433331.0,1.8378431235294117,621156389.0,3.653861111764706,10138
Toy Story,John Lasseter,30000000.0,191796233.0,6.3932077666666665,364545516.0,12.1515172,862
Inception,Christopher Nolan,160000000.0,292576195.0,1.82860121875,835524642.0,5.2220290125,27205
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,95000000.0,88768303.0,0.9344031894736842,223050874.0,2.3479039368421053,32657
Avatar,James Cameron,425000000.0,760507625.0,1.789429705882353,2776345279.0,6.532577127058824,19995
Toy Story 3,Lee Unkrich,200000000.0,415004880.0,2.0750244,1068879522.0,5.34439761,10193
Despicable Me,Chris Renaud,69000000.0,251513985.0,3.645130217391305,543464573.0,7.87629815942029,20352
Despicable Me,Pierre Coffin,69000000.0,251513985.0,3.645130217391305,543464573.0,7.87629815942029,20352
Megamind,Tom McGrath,130000000.0,148415853.0,1.1416604076923076,321887208.0,2.476055446153846,38055
Toy Story 2,John Lasseter,90000000.0,245852179.0,2.731690877777778,511358276.0,5.6817586222222225,863
Alice in Wonderland,Tim Burton,200000000.0,334191110.0,1.67095555,1025491110.0,5.12745555,12155
The Expendables,Sylvester Stallone,82000000.0,103068524.0,1.2569332195121952,268268174.0,3.2715630975609757,27578
Tangled,Byron Howard,260000000.0,200821936.0,0.7723920615384615,586477240.0,2.255681692307692,38757
Tangled,Nathan Greno,260000000.0,200821936.0,0.7723920615384615,586477240.0,2.255681692307692,38757
The Twilight Saga: Eclipse,David Slade,68000000.0,300531751.0,4.419584573529412,706102828.0,10.383865117647058,24021
The Book of Eli,Allen Hughes,80000000.0,94835059.0,1.1854382375,158750817.0,1.9843852125,20504
The Book of Eli,Albert Hughes,80000000.0,94835059.0,1.1854382375,158750817.0,1.9843852125,20504
The Bourne Supremacy,Paul Greengrass,85000000.0,176087450.0,2.0716170588235294,311001124.0,3.658836752941177,2502
Shutter Island,Martin Scorsese,80000000.0,128012934.0,1.600161675,299461782.0,3.743272275,11324
The Bourne Identity,Doug Liman,60000000.0,121468960.0,2.0244826666666667,214357371.0,3.57262285,2501
Knight and Day,James Mangold,117000000.0,76423035.0,0.6531883333333334,258751370.0,2.211550170940171,37834
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,155000000.0,104386950.0,0.673464193548387,418186950.0,2.697980322580645,10140
Step Up 3D,Jon M. Chu,30000000.0,42400223.0,1.4133407666666666,165889117.0,5.529637233333333,41233
The A-Team,Joe Carnahan,110000000.0,77222099.0,0.7020190818181818,177241171.0,1.6112833727272726,34544
Bad Boys,Michael Bay,23000000.0,65647413.0,2.854235347826087,141247413.0,6.141191869565217,9737
The Last Airbender,M. Night Shyamalan,150000000.0,131772187.0,0.8784812466666667,319713881.0,2.1314258733333333,10196
Predators,Nimród Antal,40000000.0,52000688.0,1.3000172,127234389.0,3.180859725,34851
The Social Network,David Fincher,40000000.0,96962694.0,2.42406735,224922135.0,5.623053375,37799
Apollo 13,Ron Howard,65000000.0,173772767.0,2.6734271846153845,335802271.0,5.166188784615384,568
Armageddon,Michael Bay,140000000.0,201578182.0,1.439844157142857,554600000.0,3.9614285714285713,95
The Bourne Ultimatum,Paul Greengrass,130000000.0,227471070.0,1.7497774615384616,444043396.0,3.415718430769231,2503
Clash of the Titans,Louis Leterrier,125000000.0,163214888.0,1.305719104,493214888.0,3.945719104,18823
Robin Hood,Ridley Scott,210000000.0,105487148.0,0.5023197523809524,322459006.0,1.5355190761904762,20662
