movie_title,person_name,production_budget,domestic_gross,roi_domestic,worldwide_gross,roi_worldwide,movie_id
How to Train Your Dragon,Bonnie Arnold,165000000.0,217581232.0,1.3186741333333334,494870992.0,2.999218133333333,10191
Iron Man 2,Kevin Feige,170000000.0,312433331.0,1.8378431235294117,621156389.0,3.653861111764706,10138
Toy Story,Ralph Guggenheim,30000000.0,191796233.0,6.3932077666666665,364545516.0,12.1515172,862
Toy Story,Bonnie Arnold,30000000.0,191796233.0,6.3932077666666665,364545516.0,12.1515172,862
Inception,Christopher Nolan,160000000.0,292576195.0,1.82860121875,835524642.0,5.2220290125,27205
Inception,Emma Thomas,160000000.0,292576195.0,1.82860121875,835524642.0,5.2220290125,27205
Inception,Kanjirô Sakura,160000000.0,292576195.0,1.82860121875,835524642.0,5.2220290125,27205
Inception,Yoshikuni Taki,160000000.0,292576195.0,1.82860121875,835524642.0,5.2220290125,27205
Percy Jackson & the Olympians: The Lightning Thief,Michael Barnathan,95000000.0,88768303.0,0.9344031894736842,223050874.0,2.3479039368421053,32657
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,95000000.0,88768303.0,0.9344031894736842,223050874.0,2.3479039368421053,32657
Percy Jackson & the Olympians: The Lightning Thief,Mark Radcliffe,95000000.0,88768303.0,0.9344031894736842,223050874.0,2.3479039368421053,32657
Percy Jackson & the Olympians: The Lightning Thief,Karen Rosenfelt,95000000.0,88768303.0,0.9344031894736842,223050874.0,2.3479039368421053,32657
Avatar,James Cameron,425000000.0,760507625.0,1.789429705882353,2776345279.0,6.532577127058824,19995
Avatar,Jon Landau,425000000.0,760507625.0,1.789429705882353,2776345279.0,6.532577127058824,19995
Toy Story 3,Darla K. Anderson,200000000.0,415004880.0,2.0750244,1068879522.0,5.34439761,10193
Despicable Me,John Cohen,69000000.0,251513985.0,3.645130217391305,543464573.0,7.87629815942029,20352
Despicable Me,Janet Healy,69000000.0,251513985.0,3.645130217391305,543464573.0,7.87629815942029,20352
Despicable Me,Chris Meledandri,69000000.0,251513985.0,3.645130217391305,543464573.0,7.87629815942029,20352
Megamind,Lara Breay,130000000.0,148415853.0,1.1416604076923076,321887208.0,2.476055446153846,38055
Megamind,Denise Nolan Cascino,130000000.0,148415853.0,1.1416604076923076,321887208.0,2.476055446153846,38055
Toy Story 2,Helene Plotkin,90000000.0,245852179.0,2.731690877777778,511358276.0,5.6817586222222225,863
Toy Story 2,Karen Robert Jackson,90000000.0,245852179.0,2.731690877777778,511358276.0,5.6817586222222225,863
Alice in Wonderland,Katterli Frauenfelder,200000000.0,334191110.0,1.67095555,1025491110.0,5.12745555,12155
Alice in Wonderland,Joe Roth,200000000.0,334191110.0,1.67095555,1025491110.0,5.12745555,12155
Alice in Wonderland,Suzanne Todd,200000000.0,334191110.0,1.67095555,1025491110.0,5.12745555,12155
Alice in Wonderland,Jennifer Todd,200000000.0,334191110.0,1.67095555,1025491110.0,5.12745555,12155
Alice in Wonderland,Richard D. Zanuck,200000000.0,334191110.0,1.67095555,1025491110.0,5.12745555,12155
The Expendables,Kevin King Templeton,82000000.0,103068524.0,1.2569332195121952,268268174.0,3.2715630975609757,27578
The Expendables,Avi Lerner,82000000.0,103068524.0,1.2569332195121952,268268174.0,3.2715630975609757,27578
The Expendables,John Thompson,82000000.0,103068524.0,1.2569332195121952,268268174.0,3.2715630975609757,27578
Tangled,Roy Conli,260000000.0,200821936.0,0.7723920615384615,586477240.0,2.255681692307692,38757
The Twilight Saga: Eclipse,Karen Rosenfelt,68000000.0,300531751.0,4.419584573529412,706102828.0,10.383865117647058,24021
The Twilight Saga: Eclipse,Wyck Godfrey,68000000.0,300531751.0,4.419584573529412,706102828.0,10.383865117647058,24021
The Book of Eli,Denzel Washington,80000000.0,94835059.0,1.1854382375,158750817.0,1.9843852125,20504
The Book of Eli,Joel Silver,80000000.0,94835059.0,1.1854382375,158750817.0,1.9843852125,20504
The Book of Eli,David Valdes,80000000.0,94835059.0,1.1854382375,158750817.0,1.9843852125,20504
The Book of Eli,Andrew A. Kosove,80000000.0,94835059.0,1.1854382375,158750817.0,1.9843852125,20504
The Book of Eli,Broderick Johnson,80000000.0,94835059.0,1.1854382375,158750817.0,1.9843852125,20504
The Bourne Supremacy,Frank Marshall,85000000.0,176087450.0,2.0716170588235294,311001124.0,3.658836752941177,2502
The Bourne Supremacy,Patrick Crowley,85000000.0,176087450.0,2.0716170588235294,311001124.0,3.658836752941177,2502
The Bourne Supremacy,Paul Sandberg,85000000.0,176087450.0,2.0716170588235294,311001124.0,3.658836752941177,2502
Shutter Island,Bradley J. Fischer,80000000.0,128012934.0,1.600161675,299461782.0,3.743272275,11324
Shutter Island,Arnold Messer,80000000.0,128012934.0,1.600161675,299461782.0,3.743272275,11324
Shutter Island,Martin Scorsese,80000000.0,128012934.0,1.600161675,299461782.0,3.743272275,11324
Shutter Island,Mike Medavoy,80000000.0,128012934.0,1.600161675,299461782.0,3.743272275,11324
The Bourne Identity,Patrick Crowley,60000000.0,121468960.0,2.0244826666666667,214357371.0,3.57262285,2501
The Bourne Identity,Richard N. Gladstein,60000000.0,121468960.0,2.0244826666666667,214357371.0,3.57262285,2501
The Bourne Identity,Doug Liman,60000000.0,121468960.0,2.0244826666666667,214357371.0,3.57262285,2501
Knight and Day,Steve Pink,117000000.0,76423035.0,0.6531883333333334,258751370.0,2.211550170940171,37834
Knight and Day,Todd Garner,117000000.0,76423035.0,0.6531883333333334,258751370.0,2.211550170940171,37834
Knight and Day,Cathy Konrad,117000000.0,76423035.0,0.6531883333333334,258751370.0,2.211550170940171,37834
The Chronicles of Narnia: The Voyage of the Dawn Treader,Philip Steuer,155000000.0,104386950.0,0.673464193548387,418186950.0,2.697980322580645,10140
The Chronicles of Narnia: The Voyage of the Dawn Treader,Andrew Adamson,155000000.0,104386950.0,0.673464193548387,418186950.0,2.697980322580645,10140
The Chronicles of Narnia: The Voyage of the Dawn Treader,Mark Johnson,155000000.0,104386950.0,0.673464193548387,418186950.0,2.697980322580645,10140
The Chronicles of Narnia: The Voyage of the Dawn Treader,Cort Kristensen,155000000.0,104386950.0,0.673464193548387,418186950.0,2.697980322580645,10140
Step Up 3D,Jennifer Gibgot,30000000.0,42400223.0,1.4133407666666666,165889117.0,5.529637233333333,41233
Step Up 3D,Adam Shankman,30000000.0,42400223.0,1.4133407666666666,165889117.0,5.529637233333333,41233
Step Up 3D,Erik Feig,30000000.0,42400223.0,1.4133407666666666,165889117.0,5.529637233333333,41233
Step Up 3D,Patrick Wachsberger,30000000.0,42400223.0,1.4133407666666666,165889117.0,5.529637233333333,41233
The A-Team,Iain Smith,110000000.0,77222099.0,0.7020190818181818,177241171.0,1.6112833727272726,34544
The A-Team,Stephen J. Cannell,110000000.0,77222099.0,0.7020190818181818,177241171.0,1.6112833727272726,34544
The A-Team,Tony Scott,110000000.0,77222099.0,0.7020190818181818,177241171.0,1.6112833727272726,34544
The A-Team,Jules Daly,110000000.0,77222099.0,0.7020190818181818,177241171.0,1.6112833727272726,34544
The A-Team,Spike Seldin,110000000.0,77222099.0,0.7020190818181818,177241171.0,1.6112833727272726,34544
The A-Team,Alex Young,110000000.0,77222099.0,0.7020190818181818,177241171.0,1.6112833727272726,34544
Bad Boys,Jerry Bruckheimer,23000000.0,65647413.0,2.854235347826087,141247413.0,6.141191869565217,9737
Bad Boys,Don Simpson,23000000.0,65647413.0,2.854235347826087,141247413.0,6.141191869565217,9737
The Last Airbender,Sam Mercer,150000000.0,131772187.0,0.8784812466666667,319713881.0,2.1314258733333333,10196
The Last Airbender,M. Night Shyamalan,150000000.0,131772187.0,0.8784812466666667,319713881.0,2.1314258733333333,10196
The Last Airbender,Frank Marshall,150000000.0,131772187.0,0.8784812466666667,319713881.0,2.1314258733333333,10196
Predators,John Davis,40000000.0,52000688.0,1.3000172,127234389.0,3.180859725,34851
Predators,Robert Rodriguez,40000000.0,52000688.0,1.3000172,127234389.0,3.180859725,34851
Predators,Elizabeth Avellan,40000000.0,52000688.0,1.3000172,127234389.0,3.180859725,34851
The Social Network,Ceán Chaffin,40000000.0,96962694.0,2.42406735,224922135.0,5.623053375,37799
The Social Network,Dana Brunetti,40000000.0,96962694.0,2.42406735,224922135.0,5.623053375,37799
The Social Network,Scott Rudin,40000000.0,96962694.0,2.42406735,224922135.0,5.623053375,37799
The Social Network,Michael De Luca,40000000.0,96962694.0,2.42406735,224922135.0,5.623053375,37799
Apollo 13,Brian Grazer,65000000.0,173772767.0,2.6734271846153845,335802271.0,5.166188784615384,568
Armageddon,Michael Bay,140000000.0,201578182.0,1.439844157142857,554600000.0,3.9614285714285713,95
Armageddon,Gale Anne Hurd,140000000.0,201578182.0,1.439844157142857,554600000.0,3.9614285714285713,95
Armageddon,Jerry Bruckheimer,140000000.0,201578182.0,1.439844157142857,554600000.0,3.9614285714285713,95
The Bourne Ultimatum,Frank Marshall,130000000.0,227471070.0,1.7497774615384616,444043396.0,3.415718430769231,2503
The Bourne Ultimatum,Patrick Crowley,130000000.0,227471070.0,1.7497774615384616,444043396.0,3.415718430769231,2503
The Bourne Ultimatum,Paul Sandberg,130000000.0,227471070.0,1.7497774615384616,444043396.0,3.415718430769231,2503
The Bourne Ultimatum,Andrew R. Tennenbaum,130000000.0,227471070.0,1.7497774615384616,444043396.0,3.415718430769231,2503
Clash of the Titans,Basil Iwanyk,125000000.0,163214888.0,1.305719104,493214888.0,3.945719104,18823
Clash of the Titans,Karl McMillan,125000000.0,163214888.0,1.305719104,493214888.0,3.945719104,18823
Clash of the Titans,Kevin De La Noy,125000000.0,163214888.0,1.305719104,493214888.0,3.945719104,18823
Robin Hood,Russell Crowe,210000000.0,105487148.0,0.5023197523809524,322459006.0,1.5355190761904762,20662
Robin Hood,Brian Grazer,210000000.0,105487148.0,0.5023197523809524,322459006.0,1.5355190761904762,20662
Robin Hood,Ridley Scott,210000000.0,105487148.0,0.5023197523809524,322459006.0,1.5355190761904762,20662
Nanny McPhee and the Big Bang,Tim Bevan,35000000.0,29197642.0,0.8342183428571428,97799865.0,2.794281857142857,35019
Nanny McPhee and the Big Bang,Lindsay Doran,35000000.0,29197642.0,0.8342183428571428,97799865.0,2.794281857142857,35019
Nanny McPhee and the Big Bang,Eric Fellner,35000000.0,29197642.0,0.8342183428571428,97799865.0,2.794281857142857,35019
Shrek Forever After,Teresa Cheng,165000000.0,238736787.0,1.4468896181818185,756244673.0,4.583301048484849,10192
Shrek Forever After,Gina Shay,165000000.0,238736787.0,1.4468896181818185,756244673.0,4.583301048484849,10192
Easy A,Zanne Devine,8000000.0,58401464.0,7.300183,76200721.0,9.525090125,37735
Easy A,Will Gluck,8000000.0,58401464.0,7.300183,76200721.0,9.525090125,37735
The Sorcerer's Apprentice,Jerry Bruckheimer,160000000.0,63150991.0,0.39469369375,217986320.0,1.3624145,27022
Grown Ups,Jack Giarraputo,75000000.0,162001186.0,2.160015813333333,272223430.0,3.629645733333333,38365
Grown Ups,Adam Sandler,75000000.0,162001186.0,2.160015813333333,272223430.0,3.629645733333333,38365
Faster,Liz Glotzer,24000000.0,23240020.0,0.9683341666666668,35792945.0,1.4913727083333332,41283
Faster,Robert Teitel,24000000.0,23240020.0,0.9683341666666668,35792945.0,1.4913727083333332,41283
Faster,Martin Shafer,24000000.0,23240020.0,0.9683341666666668,35792945.0,1.4913727083333332,41283
Faster,Tony Gayton,24000000.0,23240020.0,0.9683341666666668,35792945.0,1.4913727083333332,41283
The Wolfman,Sean Daniel,150000000.0,62189884.0,0.4145992266666666,142634358.0,0.95089572,7978
