tmdb_id,original_language,popularity,release_date,title,vote_average,vote_count,production_budget,domestic_gross,worldwide_gross,primary_genre,roi_domestic,roi_worldwide,release_month,franchise,collection
10191,en,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,165000000.0,217581232.0,494870992.0,Action,1.3186741333333334,2.999218133333333,3,True,How to Train Your Dragon Collection
10138,en,28.515,2010-05-07,Iron Man 2,6.8,12368,170000000.0,312433331.0,621156389.0,Action,1.8378431235294117,3.653861111764706,5,True,Iron Man Collection
862,en,28.005,1995-11-22,Toy Story,7.9,10174,30000000.0,191796233.0,364545516.0,Animation,6.3932077666666665,12.1515172,11,True,Toy Story Collection
27205,en,27.92,2010-07-16,Inception,8.3,22186,160000000.0,292576195.0,835524642.0,Action,1.82860121875,5.2220290125,7,False,
32657,en,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,95000000.0,88768303.0,223050874.0,Adventure,0.9344031894736842,2.3479039368421053,2,True,Percy Jackson Collection
19995,en,26.526,2009-12-18,Avatar,7.4,18676,425000000.0,760507625.0,2776345279.0,Horror,1.789429705882353,6.532577127058824,12,True,Avatar Collection
10193,en,24.445,2010-06-17,Toy Story 3,7.7,8340,200000000.0,415004880.0,1068879522.0,Adventure,2.0750244,5.34439761,6,True,Toy Story Collection
20352,en,23.673,2010-07-09,Despicable Me,7.2,10057,69000000.0,251513985.0,543464573.0,Animation,3.6451302173913045,7.87629815942029,7,True,Despicable Me Collection
38055,en,22.855,2010-11-04,Megamind,6.8,3635,130000000.0,148415853.0,321887208.0,Action,1.1416604076923076,2.476055446153846,11,True,Megamind Collection
863,en,22.698,1999-11-24,Toy Story 2,7.5,7553,90000000.0,245852179.0,511358276.0,Animation,2.731690877777778,5.6817586222222225,11,True,Toy Story Collection
12155,en,22.02,2010-03-05,Alice in Wonderland,6.6,8713,200000000.0,334191110.0,1025491110.0,Adventure,1.67095555,5.12745555,3,True,Alice in Wonderland Collection
27578,en,21.517,2010-08-03,The Expendables,6.1,4647,82000000.0,103068524.0,268268174.0,Action,1.2569332195121952,3.2715630975609757,8,True,The Expendables Collection
38757,en,21.511,2010-11-24,Tangled,7.5,6407,260000000.0,200821936.0,586477240.0,Adventure,0.7723920615384615,2.255681692307692,11,True,Tangled Collection
24021,en,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,68000000.0,300531751.0,706102828.0,Adventure,4.419584573529412,10.383865117647058,6,True,The Twilight Collection
20504,en,18.985,2010-01-11,The Book of Eli,6.7,3495,80000000.0,94835059.0,158750817.0,Action,1.1854382375,1.9843852125,1,False,
2502,en,18.199,2004-07-23,The Bourne Supremacy,7.3,4367,85000000.0,176087450.0,311001124.0,Action,2.0716170588235294,3.6588367529411765,7,True,The Bourne Collection
11324,en,18.06,2010-02-18,Shutter Island,8.1,12625,80000000.0,128012934.0,299461782.0,Mystery,1.600161675,3.743272275,2,False,
2501,en,17.935,2002-06-14,The Bourne Identity,7.4,5406,60000000.0,121468960.0,214357371.0,Action,2.0244826666666667,3.57262285,6,True,The Bourne Collection
37834,en,17.713,2010-06-23,Knight and Day,6.0,2494,117000000.0,76423035.0,258751370.0,Action,0.6531883333333334,2.211550170940171,6,False,
10140,en,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,155000000.0,104386950.0,418186950.0,Adventure,0.673464193548387,2.697980322580645,12,True,The Chronicles of Narnia Collection
41233,en,17.174,2010-08-06,Step Up 3D,6.7,1160,30000000.0,42400223.0,165889117.0,Drama,1.4133407666666666,5.529637233333333,8,True,Step Up Collection
34544,en,17.097,2010-06-11,The A-Team,6.3,2703,110000000.0,77222099.0,177241171.0,Action,0.7020190818181818,1.6112833727272726,6,False,
9737,en,16.608,1995-04-07,Bad Boys,6.6,2936,23000000.0,65647413.0,141247413.0,Action,2.854235347826087,6.141191869565217,4,True,Bad Boys Collection
10196,en,16.595,2010-07-01,The Last Airbender,4.6,2143,150000000.0,131772187.0,319713881.0,Action,0.8784812466666667,2.1314258733333333,7,False,
34851,en,16.216,2010-07-03,Predators,6.1,1979,40000000.0,52000688.0,127234389.0,Action,1.3000172,3.180859725,7,True,Predator Collection
37799,en,15.889,2010-10-01,The Social Network,7.2,6116,40000000.0,96962694.0,224922135.0,Biography,2.42406735,5.623053375,10,False,
568,en,15.855,1995-06-30,Apollo 13,7.4,2821,65000000.0,173772767.0,335802271.0,Drama,2.6734271846153845,5.166188784615384,6,False,
95,en,15.799,1998-07-01,Armageddon,6.7,4267,140000000.0,201578182.0,554600000.0,Action,1.439844157142857,3.9614285714285713,7,False,
2503,en,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,130000000.0,227471070.0,444043396.0,Action,1.7497774615384616,3.415718430769231,8,True,The Bourne Collection
18823,en,15.574,2010-04-02,Clash of the Titans,5.7,3714,125000000.0,163214888.0,493214888.0,Action,1.305719104,3.945719104,4,True,Clash of the Titans Collection
20662,en,15.444,2010-05-14,Robin Hood,6.3,2569,210000000.0,105487148.0,322459006.0,Action,0.5023197523809524,1.5355190761904762,5,False,
35019,en,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953,35000000.0,29197642.0,97799865.0,Comedy,0.8342183428571428,2.794281857142857,8,True,Nanny McPhee Collection
10192,en,15.041,2010-05-16,Shrek Forever After,6.1,3843,165000000.0,238736787.0,756244673.0,Adventure,1.4468896181818183,4.583301048484849,5,True,Shrek Collection
37735,en,14.69,2010-09-17,Easy A,6.8,4168,8000000.0,58401464.0,76200721.0,Comedy,7.300183,9.525090125,9,False,
27022,en,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,160000000.0,63150991.0,217986320.0,Action,0.39469369375,1.3624145,7,False,
38365,en,14.291,2010-06-24,Grown Ups,6.1,3171,75000000.0,162001186.0,272223430.0,Comedy,2.160015813333333,3.629645733333333,6,True,Grown Ups Collection
41283,en,14.172,2010-11-23,Faster,6.2,895,24000000.0,23240020.0,35792945.0,Action,0.9683341666666667,1.4913727083333332,11,False,
7978,en,14.03,2010-02-12,The Wolfman,5.7,1009,150000000.0,62189884.0,142634358.0,Drama,0.41459922666666665,0.95089572,2,False,
44048,en,14.01,2010-11-12,Unstoppable,6.4,1913,95000000.0,81562942.0,165720921.0,Action,0.8585572842105264,1.744430747368421,11,False,
44214,en,13.745,2010-12-03,Black Swan,7.6,8374,13000000.0,106954678.0,331266710.0,Drama,8.227282923076922,25.482054615384616,12,False,
23759,en,13.548,2010-02-15,Centurion,6.1,673,15000000.0,123570.0,7885048.0,Action,0.008238,0.5256698666666667,2,False,
27581,en,13.508,2010-08-06,The Other Guys,6.2,2187,100000000.0,119219978.0,170936470.0,Action,1.19219978,1.7093647,8,False,
23168,en,13.476,2010-09-17,The Town,7.1,2386,37000000.0,92186262.0,152566881.0,Crime,2.4915205945945944,4.123429216216216,9,False,
20533,en,13.467,2010-06-18,Jonah Hex,4.6,708,47000000.0,10547117.0,11022696.0,Action,0.22440674468085106,0.23452544680851065,6,False,
7980,en,13.285,2010-01-15,The Lovely Bones,6.8,2226,95000000.0,44114232.0,94894448.0,Fantasy,0.46436033684210526,0.9988889263157895,1,False,
44264,en,13.118,2010-12-22,True Grit,7.2,2816,35000000.0,171243005.0,252276928.0,Adventure,4.892657285714286,7.207912228571429,12,False,
43947,en,13.102,2010-10-08,I Spit on Your Grave,6.3,977,1750000.0,93051.0,1278471.0,Horror,0.053172,0.7305548571428572,10,True,I Spit on Your Grave Collection
23483,en,13.08,2010-04-16,Kick-Ass,7.1,7540,28000000.0,48071303.0,97531134.0,Action,1.71683225,3.4832547857142857,4,True,Kick-Ass Collection
27576,en,13.025,2010-07-23,Salt,6.3,3240,130000000.0,118311368.0,290650494.0,Action,0.9100874461538462,2.2357730307692307,7,False,
23023,en,12.65,2010-01-22,Tooth Fairy,5.3,1058,48000000.0,60022256.0,112610386.0,Comedy,1.2504636666666666,2.346049708333333,1,True,Tooth Fairy Collection
23631,en,12.557,2010-09-03,Machete,6.3,1862,12500000.0,26593646.0,46370970.0,Action,2.12749168,3.7096776,9,True,Machete Collection
35056,en,12.498,2010-04-08,Date Night,6.0,1743,55000000.0,98711404.0,152269033.0,Comedy,1.7947528,2.768527872727273,4,False,
41733,en,12.445,2010-11-04,Due Date,6.3,2973,65000000.0,100539043.0,211739043.0,Adventure,1.5467545076923077,3.2575237384615385,11,False,
31867,en,12.437,2010-03-19,Repo Men,6.2,976,32000000.0,13942007.0,18195238.0,Action,0.43568771875,0.5686011875,3,False,
38575,en,12.256,2010-06-10,The Karate Kid,6.3,3140,40000000.0,176591618.0,351774938.0,Action,4.41479045,8.79437345,6,False,
33217,en,12.256,2010-03-19,Diary of a Wimpy Kid,6.0,736,15000000.0,64003625.0,76954311.0,Comedy,4.266908333333333,5.1302874,3,True,Diary of a Wimpy Kid Collection
29427,en,12.246,2010-02-26,The Crazies,6.2,1036,19000000.0,39123589.0,56445534.0,Horror,2.0591362631578947,2.9708175789473685,2,False,
39451,en,12.153,2010-12-21,Little Fockers,5.6,1883,100000000.0,148438600.0,310650574.0,Comedy,1.484386,3.10650574,12,True,Meet the Parents Collection
22971,en,12.048,2010-02-04,Dear John,6.8,2676,25000000.0,80014842.0,142033509.0,Drama,3.20059368,5.68134036,2,False,
22894,en,12.032,2010-01-22,Legion,5.3,1154,26000000.0,40168080.0,67647574.0,Action,1.5449261538461538,2.6018297692307693,1,False,
25195,en,11.821,2010-01-08,Leap Year,6.7,990,19000000.0,25918920.0,32618920.0,Comedy,1.3641536842105264,1.7167852631578948,1,False,
38363,en,11.624,2010-05-20,Fair Game,6.6,384,50000000.0,11497497.0,26097497.0,Biography,0.22994994,0.52194994,5,False,
22972,en,11.519,2010-03-11,Green Zone,6.4,1176,100000000.0,35497337.0,97523020.0,Action,0.35497337,0.9752302,3,False,
23169,en,11.453,2010-03-12,Remember Me,7.1,2079,16000000.0,19068240.0,56506120.0,Drama,1.191765,3.5316325,3,False,
44115,en,11.435,2010-11-05,127 Hours,7.0,4469,18000000.0,18335230.0,60217171.0,Adventure,1.018623888888889,3.345398388888889,11,False,
43593,en,11.302,2010-08-20,Piranha 3D,5.3,1029,24000000.0,25003155.0,83660160.0,Comedy,1.041798125,3.48584,8,True,Piranha 3D Collection
37861,en,11.26,2010-07-16,Valhalla Rising,6.0,582,5700000.0,30638.0,731613.0,Adventure,0.005375087719298246,0.12835315789473684,7,False,
12201,en,11.252,2010-01-29,Edge of Darkness,6.3,794,60000000.0,43313890.0,82812456.0,Crime,0.7218981666666666,1.3802076,1,False,
32856,en,11.187,2010-02-11,Valentine's Day,5.8,1907,52000000.0,110485654.0,217569328.0,Comedy,2.1247241153846153,4.184025538461539,2,False,
43539,en,11.147,2010-11-19,The Next Three Days,7.0,1469,30000000.0,21148651.0,67255916.0,Action,0.7049550333333333,2.241863866666667,11,False,
26388,en,10.888,2010-09-24,Buried,6.6,1487,1987650.0,1044143.0,21270290.0,Drama,0.5253153221140543,10.701225064774986,9,False,
38745,en,10.768,2010-12-25,Gulliver's Travels,5.1,1282,112000000.0,42779261.0,232017848.0,Adventure,0.3819576875,2.0715879285714287,12,False,
41216,en,10.754,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223,100000000.0,55675313.0,139716717.0,Action,0.55675313,1.39716717,9,False,
23172,en,10.746,2010-01-15,The Spy Next Door,5.7,650,28000000.0,24307106.0,46752858.0,Action,0.8681109285714286,1.6697449285714285,1,False,
16290,en,10.715,2010-10-15,Jackass 3D,6.3,655,20000000.0,117229692.0,171685793.0,Action,5.8614846,8.58428965,10,True,Jackass Collection
38357,en,10.595,2010-11-10,Morning Glory,6.3,717,40000000.0,31011732.0,59795070.0,Comedy,0.7752933,1.49487675,11,False,
25941,en,10.555,2010-04-30,Harry Brown,6.8,505,7300000.0,1818681.0,12023606.0,Thriller,0.24913438356164383,1.6470693150684932,4,False,
39691,en,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273,85000000.0,43585753.0,113026383.0,Action,0.5127735647058823,1.3297221529411765,7,True,Cats & Dogs Collection
45317,en,10.395,2010-12-17,The Fighter,7.3,2325,11000000.0,93617009.0,129262388.0,Biography,8.510637181818181,11.751126181818181,12,False,
37710,en,10.307,2010-12-10,The Tourist,6.1,3133,100000000.0,67631157.0,278731369.0,Action,0.67631157,2.78731369,12,False,
37821,en,10.221,2010-06-04,Killers,5.8,1314,75000000.0,47059963.0,95572749.0,Action,0.6274661733333333,1.27430332,6,False,
38303,en,10.208,2010-09-24,You Again,6.2,734,20000000.0,25702053.0,32838945.0,Comedy,1.28510265,1.64194725,9,False,
44040,en,10.203,2010-09-17,Devil,5.9,1516,10000000.0,33679655.0,63354114.0,Horror,3.3679655,6.3354114,9,False,
34813,en,10.202,2010-04-23,The Losers,6.2,844,25000000.0,23591432.0,29863840.0,Action,0.94365728,1.1945536,4,False,
44629,en,10.188,2010-08-13,Animal Kingdom,6.8,399,4200000.0,1044039.0,8078683.0,Crime,0.2485807142857143,1.9234959523809523,8,False,
43933,en,10.175,2010-10-29,Monsters,6.2,848,500000.0,237301.0,5639730.0,Drama,0.474602,11.27946,10,True,Monsters Collection
23048,en,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383,36000000.0,50269859.0,65967750.0,Comedy,1.3963849722222221,1.8324375,3,True,Hot Tub Time Machine Collection
42188,en,10.012,2010-09-15,Never Let Me Go,6.8,1294,15000000.0,2434652.0,11173718.0,Drama,0.16231013333333333,0.7449145333333334,9,False,
43923,en,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324,8000000.0,6363628.0,6632950.0,Comedy,0.7954535,0.82911875,10,False,
38167,en,9.991,2010-08-12,Eat Pray Love,6.0,1208,60000000.0,80574010.0,206598789.0,Drama,1.3429001666666667,3.44331315,8,False,
37786,en,9.986,2010-05-27,Sex and the City 2,5.9,809,95000000.0,95347692.0,294680778.0,Comedy,1.0036599157894737,3.1019029263157893,5,True,Sex and the City Collection
37495,en,9.968,2010-11-05,Four Lions,7.0,621,3750000.0,310007.0,2436111.0,Comedy,0.08266853333333334,0.6496296,11,False,
27573,en,9.861,2010-03-19,The Bounty Hunter,5.7,1627,45000000.0,67061228.0,135808837.0,Action,1.4902495111111111,3.0179741555555557,3,False,
39013,en,9.824,2010-06-11,Winter's Bone,6.9,931,2000000.0,6531503.0,16131551.0,Drama,3.2657515,8.0657755,6,False,
43931,en,9.808,2010-10-08,My Soul to Take,5.4,247,25000000.0,14744435.0,16727470.0,Horror,0.5897774,0.6690988,10,False,
23437,en,9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408,35000000.0,63075011.0,117729621.0,Crime,1.8021431714285714,3.363703457142857,4,False,
43949,en,9.781,2010-08-06,Flipped,7.4,859,14000000.0,1755212.0,4289993.0,Comedy,0.12537228571428571,0.3064280714285714,8,False,
41402,en,9.716,2010-10-01,Let Me In,6.7,1061,20000000.0,12134935.0,28270399.0,Drama,0.60674675,1.41351995,10,False,
44363,en,9.678,2010-02-05,Frozen,5.8,987,150000000.0,400738009.0,1272469910.0,Adventure,2.671586726666667,8.483132733333333,2,False,
34647,en,9.563,2010-09-24,Enter the Void,7.3,773,16000000.0,337997.0,1467278.0,Fantasy,0.0211248125,0.091704875,9,False,
44639,en,9.514,2010-10-08,Inside Job,7.8,466,2000000.0,4311834.0,7799257.0,Crime,2.155917,3.8996285,10,False,
7340,en,9.467,1976-11-03,Carrie,7.1,1766,30000000.0,35266619.0,82409520.0,Drama,1.1755539666666666,2.746984,11,True,Carrie Collection
37950,en,9.454,2010-05-01,Charlie St. Cloud,6.9,1398,44000000.0,31206263.0,48478084.0,Drama,0.70923325,1.1017746363636363,5,False,
35169,en,9.45,2010-04-02,Furry Vengeance,4.6,283,35000000.0,17630465.0,39340177.0,Comedy,0.5037275714285714,1.124005057142857,4,False,
45324,en,9.432,2010-12-17,Casino Jack,6.1,149,12500000.0,2039869.0,2272186.0,Biography,0.16318952,0.18177488,12,False,
36419,en,9.395,2009-11-07,After.Life,5.7,416,4500000.0,108596.0,2481925.0,Drama,0.024132444444444446,0.5515388888888889,11,False,
44009,en,9.394,2010-12-29,Another Year,7.0,150,8000000.0,3205706.0,20005613.0,Comedy,0.40071325,2.500701625,12,False,
37056,en,9.394,2010-05-14,Letters to Juliet,6.9,1706,30000000.0,53032453.0,82148538.0,Adventure,1.7677484333333333,2.7382846,5,False,
